country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,fetched_at
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",18-11-2025 13:00:00,26.446912,91.439057,OZONE,20.0,22.0,22.0,2025-11-18 09:05:24.539420
India,Assam,Silchar,"Tarapur, Silchar - PCBA",18-11-2025 13:00:00,24.82827,92.79525,PM10,50.0,71.0,59.0,2025-11-18 09:05:24.539420
India,Assam,Silchar,"Tarapur, Silchar - PCBA",18-11-2025 13:00:00,24.82827,92.79525,SO2,5.0,7.0,6.0,2025-11-18 09:05:24.539420
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",18-11-2025 13:00:00,26.987634,94.636574,OZONE,4.0,82.0,34.0,2025-11-18 09:05:24.539420
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",18-11-2025 13:00:00,26.146529,87.454184,PM2.5,20.0,316.0,101.0,2025-11-18 09:05:24.539420
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",18-11-2025 13:00:00,26.146529,87.454184,PM10,17.0,171.0,68.0,2025-11-18 09:05:24.539420
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",18-11-2025 13:00:00,26.146529,87.454184,NH3,9.0,12.0,11.0,2025-11-18 09:05:24.539420
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",18-11-2025 13:00:00,26.146529,87.454184,SO2,15.0,21.0,19.0,2025-11-18 09:05:24.539420
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",18-11-2025 13:00:00,25.5626095,84.663264,PM10,83.0,169.0,129.0,2025-11-18 09:05:24.539420
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",18-11-2025 13:00:00,25.5626095,84.663264,NO2,4.0,9.0,7.0,2025-11-18 09:05:24.539420
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",18-11-2025 13:00:00,25.5626095,84.663264,OZONE,5.0,17.0,10.0,2025-11-18 09:05:24.539420
India,Assam,Guwahati,"IITG, Guwahati - PCBA",18-11-2025 13:00:00,26.2028636,91.70046436,CO,6.0,22.0,9.0,2025-11-18 09:05:24.539420
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",18-11-2025 13:00:00,26.10887,91.589544,NH3,6.0,6.0,6.0,2025-11-18 09:05:24.539420
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",18-11-2025 13:00:00,26.10887,91.589544,SO2,5.0,19.0,11.0,2025-11-18 09:05:24.539420
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",18-11-2025 13:00:00,26.10887,91.589544,OZONE,14.0,16.0,16.0,2025-11-18 09:05:24.539420
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",18-11-2025 13:00:00,26.1875,91.744194,PM2.5,7.0,164.0,54.0,2025-11-18 09:05:24.539420
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",18-11-2025 13:00:00,26.1875,91.744194,OZONE,17.0,22.0,18.0,2025-11-18 09:05:24.539420
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",18-11-2025 13:00:00,26.181742,91.78063,NO2,3.0,4.0,3.0,2025-11-18 09:05:24.539420
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",18-11-2025 13:00:00,26.349082,92.68449,NO2,1.0,1.0,1.0,2025-11-18 09:05:24.539420
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",18-11-2025 13:00:00,26.349082,92.68449,NH3,3.0,4.0,4.0,2025-11-18 09:05:24.539420
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",18-11-2025 13:00:00,26.349082,92.68449,OZONE,8.0,9.0,9.0,2025-11-18 09:05:24.539420
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",18-11-2025 13:00:00,26.446912,91.439057,NH3,4.0,8.0,6.0,2025-11-18 09:05:24.539420
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",18-11-2025 13:00:00,14.675886,77.593027,PM10,65.0,81.0,72.0,2025-11-18 09:05:24.539420
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",18-11-2025 13:00:00,13.20488,79.097889,PM10,18.0,175.0,93.0,2025-11-18 09:05:24.539420
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",18-11-2025 13:00:00,13.20488,79.097889,OZONE,53.0,57.0,55.0,2025-11-18 09:05:24.539420
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",18-11-2025 13:00:00,14.465052,78.824187,PM2.5,61.0,72.0,64.0,2025-11-18 09:05:24.539420
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",18-11-2025 13:00:00,14.465052,78.824187,NH3,3.0,4.0,3.0,2025-11-18 09:05:24.539420
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",18-11-2025 13:00:00,16.9872867,81.7363176,PM2.5,56.0,202.0,99.0,2025-11-18 09:05:24.539420
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",18-11-2025 13:00:00,16.9872867,81.7363176,SO2,7.0,30.0,16.0,2025-11-18 09:05:24.539420
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",18-11-2025 13:00:00,16.9872867,81.7363176,CO,18.0,58.0,29.0,2025-11-18 09:05:24.539420
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",18-11-2025 13:00:00,26.0881305,87.93840336,PM2.5,37.0,50.0,43.0,2025-11-18 09:05:24.539420
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",18-11-2025 13:00:00,26.0881305,87.93840336,PM10,,,,2025-11-18 09:05:24.539420
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",18-11-2025 13:00:00,26.0881305,87.93840336,OZONE,16.0,20.0,17.0,2025-11-18 09:05:24.539420
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",18-11-2025 13:00:00,27.308328,84.531742,PM10,34.0,129.0,67.0,2025-11-18 09:05:24.539420
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",18-11-2025 13:00:00,27.308328,84.531742,NH3,1.0,2.0,1.0,2025-11-18 09:05:24.539420
