country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,fetched_at
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",30-11-2025 16:00:00,16.509717,80.612222,NH3,6.0,9.0,8.0,2025-11-30 11:21:03.129818
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",30-11-2025 16:00:00,16.554731,80.64911,CO,23.0,44.0,25.0,2025-11-30 11:21:03.129818
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",30-11-2025 16:00:00,16.554731,80.64911,OZONE,53.0,102.0,70.0,2025-11-30 11:21:03.129818
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",30-11-2025 16:00:00,17.72,83.3,PM10,48.0,85.0,62.0,2025-11-30 11:21:03.129818
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",30-11-2025 16:00:00,27.103358,93.679645,PM2.5,2.0,309.0,124.0,2025-11-30 11:21:03.129818
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",30-11-2025 16:00:00,27.103358,93.679645,NO2,6.0,6.0,6.0,2025-11-30 11:21:03.129818
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",30-11-2025 16:00:00,27.103358,93.679645,SO2,8.0,9.0,9.0,2025-11-30 11:21:03.129818
India,Assam,Guwahati,"IITG, Guwahati - PCBA",30-11-2025 16:00:00,26.2028636,91.70046436,PM10,63.0,155.0,109.0,2025-11-30 11:21:03.129818
India,Assam,Guwahati,"IITG, Guwahati - PCBA",30-11-2025 16:00:00,26.2028636,91.70046436,SO2,23.0,28.0,24.0,2025-11-30 11:21:03.129818
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",30-11-2025 16:00:00,26.10887,91.589544,SO2,4.0,41.0,13.0,2025-11-30 11:21:03.129818
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",30-11-2025 16:00:00,26.1875,91.744194,PM10,40.0,113.0,71.0,2025-11-30 11:21:03.129818
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",30-11-2025 16:00:00,13.615387,79.40923,NH3,,,,2025-11-30 11:21:03.129818
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",30-11-2025 16:00:00,13.615387,79.40923,SO2,,,,2025-11-30 11:21:03.129818
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",30-11-2025 16:00:00,16.509717,80.612222,NO2,44.0,74.0,53.0,2025-11-30 11:21:03.129818
